City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,susuman,62.7833,148.1667,9.180000000000007,59,7,0.56,RU,1722024589
66,moldava nad bodvou,48.6143,20.9996,19.340000000000032,68,0,1.03,SK,1722024591
67,la ceiba,15.7597,-86.7822,29.900000000000034,79,75,5.14,HN,1722024592
68,priargunsk,50.3691,119.1012,18.970000000000027,79,100,2.5,RU,1722024593
69,thompson,55.7435,-97.8558,27.090000000000032,74,75,5.66,CA,1722024594
70,puerto ayora,-0.7393,-90.3518,24.980000000000018,92,39,2.68,EC,1722024516
71,margate,51.3813,1.3862,17.610000000000014,70,64,6.05,GB,1722024598
72,"laikit, laikit ii (dimembe)",1.4792,124.9735,21.470000000000027,94,20,0.51,ID,1722024599
73,nanganga,-10.3833,39.15,18.160000000000025,91,4,1.77,TZ,1722024601
74,iqaluit,63.7506,-68.5145,6.5,70,95,12.52,CA,1722024602
75,kodiak,57.79,-152.4072,13.730000000000018,94,100,2.57,US,1722024603
76,batouri,4.4333,14.3667,22.710000000000036,80,100,1.41,CM,1722024605
77,klyuchi,52.2667,79.1667,23.650000000000034,63,99,2.91,RU,1722024606
78,ocean shores,46.9737,-124.1563,21.27000000000004,73,0,5.66,US,1722024607
79,sao joao da barra,-21.6403,-41.0511,26.05000000000001,78,3,7.29,BR,1722024608
80,kegeyli shahar,42.7767,59.6078,26.05000000000001,29,6,4.04,UZ,1722024609
81,gaiman,-43.2897,-65.4929,12.480000000000018,25,0,7.74,AR,1722024610
82,tambovka,50.0969,128.0489,17.950000000000045,84,99,4.0,RU,1722024612
83,sakakah,29.9697,40.2064,31.760000000000048,19,0,2.09,SA,1722024613
84,saudarkrokur,65.7461,-19.6394,8.980000000000018,93,100,0.22,IS,1722024614
85,fale old settlement,-9.3852,-171.2468,27.860000000000014,67,92,1.19,TK,1722024615
86,kendari,-3.945,122.4989,23.010000000000048,96,25,0.65,ID,1722024616
87,lamu,-2.2717,40.902,24.210000000000036,87,28,6.86,KE,1722024617
88,port macquarie,-31.4333,152.9167,8.930000000000007,99,37,0.45,AU,1722024619
89,fort mcmurray,56.7268,-111.381,15.82000000000005,95,92,4.17,CA,1722024620
90,wailua homesteads,22.0669,-159.378,28.24000000000001,76,100,8.75,US,1722024621
91,valparaiso,-33.0393,-71.6273,15.129999999999995,68,0,7.72,CL,1722024281
92,anshun,26.25,105.9333,21.090000000000032,88,82,1.22,CN,1722024623
93,happy valley-goose bay,53.3168,-60.3315,18.689999999999998,36,8,1.82,CA,1722024624
94,balabac,7.9868,117.0645,27.08000000000004,83,100,2.47,PH,1722024626
95,bamboo flat,11.7,92.7167,27.439999999999998,85,100,9.01,IN,1722024627
96,susanville,40.4163,-120.653,31.480000000000018,8,0,6.58,US,1722024472
97,san antonio de pale,-1.4014,5.6325,23.350000000000023,85,93,5.18,GQ,1722024630
98,motygino,58.1831,94.7592,16.870000000000005,83,3,2.09,RU,1722024631
99,port mathurin,-19.6833,63.4167,22.760000000000048,74,0,8.26,MU,1722024632
100,bardai,11.65,7.2333,23.150000000000034,86,98,3.17,NG,1722024634
101,aquiraz,-3.9014,-38.3911,27.32000000000005,78,61,5.42,BR,1722024635
102,tagiura,32.8817,13.3506,26.260000000000048,73,0,6.04,LY,1722024636
103,angra do heroismo,38.65,-27.2167,25.060000000000002,92,73,3.13,PT,1722024637
104,yanam,16.7333,82.2167,24.28000000000003,89,100,5.27,IN,1722024638
105,pechora,65.1472,57.2244,11.450000000000045,68,69,2.63,RU,1722024639
106,greymouth,-42.4667,171.2,9.950000000000045,94,67,0.75,NZ,1722024641
107,feira de santana,-12.2667,-38.9667,25.680000000000007,54,86,4.72,BR,1722024512
108,lihue,21.9789,-159.3672,28.58000000000004,75,100,8.75,US,1722024643
109,kailua-kona,19.6406,-155.9956,27.980000000000018,79,0,4.63,US,1722024644
110,kenora,49.8167,-94.4337,31.480000000000018,46,99,6.83,CA,1722024521
111,atafu village,-8.5421,-172.5159,27.860000000000014,68,64,0.69,TK,1722024646
112,batyrevo,55.0675,47.6111,13.990000000000009,63,100,3.42,RU,1722024647
113,labytnangi,66.6572,66.4183,11.0,83,100,1.32,RU,1722024649
114,hovd,48.0056,91.6419,20.379999999999995,48,44,1.91,MN,1722024650
115,richards bay,-28.783,32.0377,17.120000000000005,89,0,1.62,ZA,1722024651
116,iskateley,67.6803,53.1512,7.2900000000000205,82,100,3.69,RU,1722024652
117,saint-pierre,-21.3393,55.4781,20.82000000000005,52,0,2.57,RE,1722024653
118,aguilares,-27.4338,-65.6143,23.430000000000007,24,1,1.97,AR,1722024655
119,colonia,50.9333,6.95,22.120000000000005,74,75,1.54,DE,1722024656
120,tapejara,-28.0681,-52.0139,18.660000000000025,83,100,1.1,BR,1722024657
121,san patricio,28.017,-97.5169,28.28000000000003,53,63,3.85,US,1722024658
122,ma'rib,15.4591,45.3253,32.200000000000045,33,100,5.11,YE,1722024659
123,hinton,53.4001,-117.5857,18.010000000000048,43,77,6.12,CA,1722024661
124,roma,43.2128,-75.4557,26.950000000000045,45,40,5.14,US,1722024662
125,namibe,-15.1961,12.1522,16.78000000000003,81,64,1.35,AO,1722024663
126,sebastopol,44.6,33.5333,24.439999999999998,49,100,0.89,UA,1722024664
127,i-n-salah,27.1935,2.4607,35.460000000000036,11,2,5.33,DZ,1722024665
128,lebu,-37.6167,-73.65,9.560000000000002,60,5,5.52,CL,1722024666
129,crane,31.3974,-102.3501,33.950000000000045,23,0,4.92,US,1722024668
130,salinopolis,-0.6136,-47.3561,27.870000000000005,72,45,6.15,BR,1722024669
131,lake city,30.1897,-82.6393,31.03000000000003,53,55,0.62,US,1722024670
132,bengkulu,-3.8004,102.2655,23.660000000000025,88,0,1.99,ID,1722024671
133,butterworth,5.3991,100.3638,29.02000000000004,79,20,0.0,MY,1722024672
134,tambopata,-12.7333,-69.1833,32.94,52,20,2.57,PE,1722024673
135,kayyerkan,69.3786,87.7439,14.270000000000039,90,7,3.43,RU,1722024674
136,rabo de peixe,37.8,-25.5833,24.730000000000018,83,20,5.66,PT,1722024423
137,moranbah,-22.0016,148.0466,15.400000000000034,91,100,2.77,AU,1722024677
138,jamestown,42.097,-79.2353,25.29000000000002,46,0,1.54,US,1722024438
139,khovd,48.0056,91.6419,20.379999999999995,48,44,1.91,MN,1722024679
140,vorgashor,67.5833,63.95,8.5,90,100,1.8,RU,1722024680
141,bredasdorp,-34.5322,20.0403,9.420000000000016,88,0,2.81,ZA,1722024681
142,vilyuchinsk,52.9306,158.4028,10.150000000000034,88,65,0.82,RU,1722024682
143,northam,51.0333,-4.2167,15.770000000000039,86,1,3.41,GB,1722024683
144,nerchinsk,51.9833,116.5833,20.220000000000027,60,100,1.02,RU,1722024685
145,mejit,10.2753,170.8646,28.170000000000016,82,100,8.65,MH,1722024686
146,ginir,7.1333,40.7,16.189999999999998,85,61,4.12,ET,1722024687
147,tobruk,32.0836,23.9764,26.900000000000034,83,0,6.03,LY,1722024688
148,cabedelo,-6.9811,-34.8339,26.370000000000005,79,9,6.79,BR,1722024689
149,kerikeri,-35.2268,173.9474,6.830000000000041,92,17,1.91,NZ,1722024690
150,xilin hot,43.9667,116.0333,19.52000000000004,61,46,3.53,CN,1722024692
151,fabens,31.5023,-106.1586,35.60000000000002,17,9,2.25,US,1722024694
152,punta arenas,-53.15,-70.9167,3.0100000000000477,87,75,12.86,CL,1722024695
153,minot air force base,48.4209,-101.3391,25.100000000000023,41,0,3.09,US,1722024696
154,grand-lahou,5.1367,-5.0242,24.129999999999995,92,79,4.34,CI,1722024697
155,mount isa,-20.7333,139.5,18.870000000000005,77,100,2.57,AU,1722024699
156,arkhangel'sk,64.5401,40.5433,15.060000000000002,67,0,2.0,RU,1722024701
157,boonton,40.9026,-74.4071,29.390000000000043,43,0,1.54,US,1722024702
158,mahina,-17.5065,-149.489,26.870000000000005,57,40,1.54,PF,1722024612
159,codrington,-38.2667,141.9667,8.230000000000018,95,100,3.64,AU,1722024705
160,dudinka,69.4058,86.1778,14.600000000000023,95,0,3.91,RU,1722024706
161,mananjary,-21.2167,48.3333,18.640000000000043,83,0,1.94,MG,1722024707
162,tomelloso,39.1522,-3.0243,29.180000000000007,29,18,5.99,ES,1722024708
163,abepura,-2.6333,140.5833,24.450000000000045,100,20,0.51,ID,1722024710
164,kampene,-3.6,26.6667,23.870000000000005,34,94,0.78,CD,1722024712
165,pathein,16.7833,94.7333,25.890000000000043,91,100,5.56,MM,1722024713
166,chinde,26.8212,87.7095,26.310000000000002,86,84,2.47,NP,1722024714
167,suva,-18.1416,178.4415,20.710000000000036,94,75,3.09,FJ,1722024715
168,choix,26.7092,-108.3219,37.879999999999995,31,98,4.02,MX,1722024716
169,rio gallegos,-51.6226,-69.2181,3.4399999999999977,70,71,10.47,AR,1722024487
170,hotan,37.0997,79.9269,29.08000000000004,22,0,0.82,CN,1722024719
171,mermoz boabab,14.7065,-17.4758,28.310000000000002,82,100,3.4,SN,1722024720
172,korla,41.7597,86.1469,27.670000000000016,33,18,4.31,CN,1722024721
173,hermanus,-34.4187,19.2345,11.0,84,0,5.62,ZA,1722024722
174,rio grande,-32.035,-52.0986,17.060000000000002,77,0,3.0,BR,1722024723
175,tarawa,1.419,172.984,29.05000000000001,74,20,4.12,KI,1722024726
176,tazovsky,67.4667,78.7,9.090000000000032,97,94,2.85,RU,1722024727
177,nezhinka,51.7676,55.3694,11.090000000000032,87,0,4.0,RU,1722024728
178,east london,-33.0153,27.9116,15.730000000000018,76,29,3.27,ZA,1722024729
179,citra,34.7965,-96.3764,31.470000000000027,46,66,3.82,US,1722024730
180,shangqiu,34.45,115.65,25.420000000000016,98,100,4.82,CN,1722024731
181,ilulissat,69.2167,-51.1,4.939999999999998,74,100,4.38,GL,1722024733
182,st. john's,47.5649,-52.7093,18.420000000000016,93,100,3.09,CA,1722024734
183,illizi,26.4833,8.4667,32.39000000000004,29,2,8.25,DZ,1722024735
184,toliara,-23.35,43.6667,18.939999999999998,73,0,2.76,MG,1722024736
185,mar del plata,-38.0023,-57.5575,11.400000000000034,90,4,4.92,AR,1722024692
186,ta`u,-14.2336,-169.5144,27.100000000000023,79,27,6.77,AS,1722024738
187,katsuura,35.1333,140.3,25.689999999999998,90,100,3.87,JP,1722024554
188,m'sila,35.7058,4.5419,33.29000000000002,20,41,4.69,DZ,1722024741
189,inda silase,14.1031,38.2829,17.670000000000016,83,100,1.24,ET,1722024742
190,saldanha,-33.0117,17.9442,12.180000000000007,90,8,4.5,ZA,1722024743
191,zouerate,22.7187,-12.4521,39.629999999999995,13,8,5.02,MR,1722024744
192,avarua,-21.2078,-159.775,25.03000000000003,78,40,7.72,CK,1722024745
193,vila velha,-20.3297,-40.2925,24.970000000000027,80,20,7.72,BR,1722024450
194,san andres,12.5847,-81.7006,31.010000000000048,74,40,4.63,CO,1722024747
195,hasaki,35.7333,140.8333,26.220000000000027,86,94,2.3,JP,1722024749
196,boise,43.6135,-116.2035,29.010000000000048,27,0,3.09,US,1722024631
197,warrnambool,-38.3833,142.4833,9.379999999999995,92,100,6.91,AU,1722024751
198,namie,37.4833,141.0,23.879999999999995,93,93,0.71,JP,1722024752
199,saipan,15.1355,145.701,27.80000000000001,76,98,1.98,MP,1722024753
200,okulovka,58.4008,33.2908,17.970000000000027,80,64,1.95,RU,1722024754
201,wanxian,30.8039,108.3897,26.920000000000016,93,92,1.16,CN,1722024755
202,prado,-17.3411,-39.2208,23.900000000000034,74,0,2.74,BR,1722024757
203,tamandare,-8.7597,-35.1047,24.58000000000004,72,23,4.39,BR,1722024759
204,ribeira grande,38.5167,-28.7,25.220000000000027,88,40,6.17,PT,1722024760
205,al ghayzah,16.2079,52.176,25.590000000000032,90,100,7.45,YE,1722024761
206,dedza,-14.3779,34.3332,13.210000000000036,24,0,0.39,MW,1722024762
207,polva,58.0603,27.0694,19.99000000000001,87,22,1.53,EE,1722024764
208,lone grove,34.1754,-97.2628,30.879999999999995,55,75,3.6,US,1722024765
209,melo,-32.3667,-54.1833,16.82000000000005,77,0,3.46,UY,1722024766
210,lompoc,34.6391,-120.4579,34.08000000000004,61,0,3.13,US,1722024768
211,keflavik,64.0049,-22.5624,12.950000000000045,100,100,7.2,IS,1722024769
212,nar'yan-mar,67.6713,53.087,7.390000000000043,82,100,3.73,RU,1722024771
213,axim,4.8699,-2.2405,24.260000000000048,90,55,4.07,GH,1722024772
214,dwarka,22.2394,68.9678,27.83000000000004,87,100,9.04,IN,1722024773
215,demopolis,32.5176,-87.8364,28.970000000000027,65,0,2.06,US,1722024774
216,lukolela,-1.0605,17.1821,24.689999999999998,53,66,1.49,CD,1722024775
217,canutama,-6.5339,-64.3831,38.450000000000045,21,100,1.9,BR,1722024776
218,mek'ele,13.4967,39.4753,16.49000000000001,88,98,2.24,ET,1722024777
219,taber,49.8167,-112.1518,28.510000000000048,12,0,6.3,CA,1722024778
220,romanovo,52.6182,81.2271,21.83000000000004,78,4,3.08,RU,1722024780
